[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
/Users/eating/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
Episode 2030, Average Reward: 3556.14, Entropy: -1.1092
Episode 2040, Average Reward: 3575.02, Entropy: -1.1129
Episode 2050, Average Reward: 3669.74, Entropy: -1.1175
Episode 2060, Average Reward: 3559.53, Entropy: -1.1237
Episode 2070, Average Reward: 3459.67, Entropy: -1.1309
Episode 2080, Average Reward: 3590.10, Entropy: -1.1325
Episode 2090, Average Reward: 3599.87, Entropy: -1.1342
Episode 2100, Average Reward: 3554.58, Entropy: -1.1377
Episode 2110, Average Reward: 3638.49, Entropy: -1.1436
Episode 2120, Average Reward: 3703.77, Entropy: -1.1457
Episode 2130, Average Reward: 3698.56, Entropy: -1.1463
Episode 2140, Average Reward: 3671.33, Entropy: -1.1488
Episode 2150, Average Reward: 3614.92, Entropy: -1.1542
Episode 2160, Average Reward: 3624.41, Entropy: -1.1600
Episode 2170, Average Reward: 3629.56, Entropy: -1.1633
Episode 2180, Average Reward: 3678.81, Entropy: -1.1669
Episode 2190, Average Reward: 3533.08, Entropy: -1.1721
Episode 2200, Average Reward: 3646.64, Entropy: -1.1764
Episode 2210, Average Reward: 3651.25, Entropy: -1.1825
Episode 2220, Average Reward: 3511.35, Entropy: -1.1867
Episode 2230, Average Reward: 3586.41, Entropy: -1.1893
Episode 2240, Average Reward: 3565.46, Entropy: -1.1954
Episode 2250, Average Reward: 3490.31, Entropy: -1.2010
Episode 2260, Average Reward: 3688.92, Entropy: -1.2009
Episode 2270, Average Reward: 3578.33, Entropy: -1.2040
Episode 2280, Average Reward: 3520.49, Entropy: -1.2048
Episode 2290, Average Reward: 3337.24, Entropy: -1.2052
Episode 2300, Average Reward: 3405.26, Entropy: -1.2065
Episode 2310, Average Reward: 3544.95, Entropy: -1.2085
Episode 2320, Average Reward: 3490.32, Entropy: -1.2106
Episode 2330, Average Reward: 3388.37, Entropy: -1.2130
Episode 2340, Average Reward: 3338.42, Entropy: -1.2164
Episode 2350, Average Reward: 3472.48, Entropy: -1.2177
Episode 2360, Average Reward: 3538.33, Entropy: -1.2198
Episode 2370, Average Reward: 3596.44, Entropy: -1.2224
Episode 2380, Average Reward: 3545.90, Entropy: -1.2220
Episode 2390, Average Reward: 3513.56, Entropy: -1.2239
Episode 2400, Average Reward: 3545.91, Entropy: -1.2262
Episode 2410, Average Reward: 3486.25, Entropy: -1.2284
Episode 2420, Average Reward: 3522.55, Entropy: -1.2290
Episode 2430, Average Reward: 3473.45, Entropy: -1.2319
Episode 2440, Average Reward: 3507.07, Entropy: -1.2353
Episode 2450, Average Reward: 3536.23, Entropy: -1.2368
Episode 2460, Average Reward: 3639.64, Entropy: -1.2401
Episode 2470, Average Reward: 3604.82, Entropy: -1.2452
Episode 2480, Average Reward: 3661.99, Entropy: -1.2493
Episode 2490, Average Reward: 3533.85, Entropy: -1.2563
Episode 2500, Average Reward: 3506.30, Entropy: -1.2601
Models saved at episode 2500
Episode 2510, Average Reward: 3546.24, Entropy: -1.2639
Episode 2520, Average Reward: 3574.07, Entropy: -1.2661
Episode 2530, Average Reward: 3535.09, Entropy: -1.2694
Episode 2540, Average Reward: 3501.73, Entropy: -1.2714
Episode 2550, Average Reward: 3507.46, Entropy: -1.2733
Episode 2560, Average Reward: 3479.04, Entropy: -1.2744
Episode 2570, Average Reward: 3605.54, Entropy: -1.2778
Episode 2580, Average Reward: 3597.68, Entropy: -1.2793
Episode 2590, Average Reward: 3603.01, Entropy: -1.2812
Episode 2600, Average Reward: 3594.30, Entropy: -1.2837
Episode 2610, Average Reward: 3596.81, Entropy: -1.2866
Episode 2620, Average Reward: 3588.10, Entropy: -1.2898
Episode 2630, Average Reward: 3539.11, Entropy: -1.2917
Episode 2640, Average Reward: 3582.03, Entropy: -1.2949
Episode 2650, Average Reward: 3660.27, Entropy: -1.2970
Episode 2660, Average Reward: 3657.79, Entropy: -1.2990
Episode 2670, Average Reward: 3693.24, Entropy: -1.2999
Episode 2680, Average Reward: 3709.16, Entropy: -1.3014
Episode 2690, Average Reward: 3699.18, Entropy: -1.3025
Episode 2700, Average Reward: 3738.65, Entropy: -1.3050
Episode 2710, Average Reward: 3757.61, Entropy: -1.3067
Episode 2720, Average Reward: 3820.84, Entropy: -1.3099
Episode 2730, Average Reward: 3831.24, Entropy: -1.3178
Episode 2740, Average Reward: 3785.26, Entropy: -1.3241
Episode 2750, Average Reward: 3749.28, Entropy: -1.3288
Episode 2760, Average Reward: 3827.95, Entropy: -1.3292
Episode 2770, Average Reward: 3818.84, Entropy: -1.3301
Episode 2780, Average Reward: 3667.83, Entropy: -1.3309
Episode 2790, Average Reward: 3647.60, Entropy: -1.3325
Episode 2800, Average Reward: 3643.69, Entropy: -1.3347
Episode 2810, Average Reward: 3750.76, Entropy: -1.3363
Episode 2820, Average Reward: 3762.18, Entropy: -1.3392
Episode 2830, Average Reward: 3816.36, Entropy: -1.3416
Episode 2840, Average Reward: 3593.30, Entropy: -1.3450
Episode 2850, Average Reward: 3636.78, Entropy: -1.3475
Episode 2860, Average Reward: 3640.87, Entropy: -1.3482
Episode 2870, Average Reward: 3512.29, Entropy: -1.3509
Episode 2880, Average Reward: 3588.21, Entropy: -1.3555
Episode 2890, Average Reward: 3633.66, Entropy: -1.3596
Episode 2900, Average Reward: 3469.92, Entropy: -1.3626
Episode 2910, Average Reward: 3656.97, Entropy: -1.3626
Episode 2920, Average Reward: 3535.42, Entropy: -1.3642
Episode 2930, Average Reward: 3643.20, Entropy: -1.3689
Episode 2940, Average Reward: 3645.45, Entropy: -1.3728
Episode 2950, Average Reward: 3659.81, Entropy: -1.3749
Episode 2960, Average Reward: 3642.52, Entropy: -1.3767
Episode 2970, Average Reward: 3569.72, Entropy: -1.3783
